n_threads,level,dataset,size_mb,ratio_zstd,ratio_omni,ratio_delta_pct_omni_vs_zstd,comp_zstd_s,comp_omni_s,comp_time_delta_pct_omni_vs_zstd,decomp_zstd_s,decomp_omni_s,decomp_time_delta_pct_omni_vs_zstd,decomp_zstd_mb_s,decomp_omni_mb_s,decomp_delta_pct_omni_vs_zstd,comp_zstd_mb_s,comp_omni_mb_s,comp_delta_pct_omni_vs_zstd,rss_peak_delta_zstd_mb,rss_peak_delta_omni_mb,rss_delta_diff_omni_minus_zstd_mb,status_zstd,status_omni
8,15,mozilla,48.847656,3.096729,3.033917,-2.028346,1.056736,0.676040,-36.025662,0.031244,0.025554,-18.210332,1563.439790,1911.537030,22.264832,46.225035,72.255589,56.312677,442.125000,584.625000,142.500000,OK,OK
8,22,mozilla,48.847656,3.434362,3.336938,-2.836742,9.640856,2.025082,-78.994793,0.042101,0.033932,-19.404670,1160.240108,1439.587267,24.076668,5.066734,24.121325,376.072424,815.781250,1078.328125,262.546875,OK,OK
8,1,mr,9.508671,2.611618,2.762959,5.794931,0.004424,0.024828,461.262900,0.006201,0.006197,-0.068534,1533.337059,1534.388632,0.068581,2149.520085,382.979186,-82.183038,38.187500,51.140625,12.953125,OK,OK
8,3,mr,9.508671,2.810140,2.887751,2.761831,0.020484,0.034429,68.071927,0.006834,0.006258,-8.433844,1391.359956,1519.513341,9.210656,464.189501,276.185029,-40.501664,40.140625,50.578125,10.437500,OK,OK
8,9,mr,9.508671,3.005257,2.976720,-0.949541,0.096835,0.106254,9.726228,0.006434,0.005383,-16.334457,1477.878588,1766.412484,19.523518,98.194313,89.490284,-8.864087,45.734375,47.250000,1.515625,OK,OK
8,12,mr,9.508671,3.050314,3.010991,-1.289127,0.199177,0.218711,9.807104,0.006295,0.006103,-3.041000,1510.621554,1558.000339,3.136377,47.739793,43.476052,-8.931211,75.609375,90.562500,14.953125,OK,OK
8,15,mr,9.508671,3.080633,3.029829,-1.649143,0.835792,0.696920,-16.615582,0.005978,0.005968,-0.176339,1590.544190,1593.353895,0.176651,11.376839,13.643843,19.926484,99.546875,112.000000,12.453125,OK,OK
8,22,mr,9.508671,3.213825,3.163967,-1.551367,1.891422,1.761128,-6.888649,0.006895,0.006008,-12.870415,1379.000956,1582.701166,14.771579,5.027261,5.399192,7.398292,291.937500,164.484375,-127.453125,OK,OK
8,1,nci,31.999059,11.756729,11.751610,-0.043534,0.004971,0.006314,27.008869,0.012322,0.009801,-20.457185,2596.975013,3264.876921,25.718457,6436.877872,5068.053864,-21.265341,92.812500,112.203125,19.390625,OK,OK
8,3,nci,31.999059,11.833777,11.747525,-0.728867,0.007879,0.007500,-4.819558,0.012362,0.009781,-20.882044,2588.440828,3271.622455,26.393558,4061.138014,4266.777829,5.063601,105.562500,114.781250,9.218750,OK,OK
8,9,nci,31.999059,14.929303,14.625610,-2.034211,0.073318,0.031525,-57.002048,0.008939,0.007910,-11.515858,3579.663418,4045.542346,13.014601,436.441313,1015.028146,132.569218,121.218750,189.187500,67.968750,OK,OK
8,12,nci,31.999059,15.938493,15.414667,-3.286547,0.140758,0.055261,-60.740596,0.008037,0.007073,-11.993753,3981.550281,4524.167810,13.628298,227.333517,579.054937,154.716042,180.906250,396.781250,215.875000,OK,OK
8,15,nci,31.999059,17.109328,16.218984,-5.203850,0.776873,0.255511,-67.110252,0.007439,0.006422,-13.660746,4301.768084,4982.401282,15.822173,41.189573,125.235298,204.046116,228.578125,618.296875,389.718750,OK,OK
8,22,nci,31.999059,21.241964,18.384905,-13.450068,10.494023,1.701471,-83.786282,0.008870,0.007431,-16.231456,3607.407663,4306.398897,19.376552,3.049265,18.806699,516.761696,484.359375,621.515625,137.156250,OK,OK
8,1,ooffice,5.867188,1.712148,1.705775,-0.372198,0.003176,0.008412,164.879696,0.004550,0.004294,-5.620215,1289.550979,1366.342364,5.954893,1847.496639,697.485185,-62.247012,26.265625,31.000000,4.734375,OK,OK
8,3,ooffice,5.867188,1.966635,1.954529,-0.615537,0.014822,0.014977,1.046612,0.005252,0.004328,-17.592760,1117.151815,1355.647652,21.348561,395.853187,391.753052,-1.035772,25.078125,29.375000,4.296875,OK,OK
8,9,ooffice,5.867188,2.153477,2.123294,-1.401565,0.059633,0.056359,-5.489965,0.004931,0.004115,-16.557546,1189.787085,1425.877384,19.843071,98.388199,104.103441,5.808870,33.968750,37.500000,3.531250,OK,OK
